0.00000,0.00000,0.00000,0.00000,0.00000,75.00000,0.00000
0.10000,0.00000,0.00063,0.04805,0.00000,75.00000,0.00000
0.20000,0.00000,0.00100,0.00149,0.00000,75.00000,0.00000
0.30000,0.00000,-0.00003,-0.01943,0.00000,75.00000,0.00000
0.40000,0.00000,-0.00005,-0.00945,0.00000,75.00000,0.00000
0.50000,0.00000,-0.00005,-0.00690,0.00000,75.00000,0.00000
0.60000,0.00000,-0.00005,-0.00562,0.00000,75.00000,0.00000
0.70000,0.00000,-0.00004,-0.00503,0.00000,75.00000,0.00000
0.80000,0.00000,-0.00004,-0.00467,0.00000,75.00000,0.00000
0.90000,0.00000,-0.00004,-0.00442,0.00000,75.00000,0.00000
1.00000,0.00000,-0.00004,-0.00424,0.00000,75.00000,0.00000
1.10000,0.00000,-0.00004,-0.00409,0.00000,75.00000,0.00000
1.20000,0.00000,-0.00004,-0.00396,0.00000,75.00000,0.00000
1.30000,0.00000,-0.00004,-0.00385,0.00000,75.00000,0.00000
1.40000,0.00000,-0.00004,-0.00374,0.00000,75.00000,0.00000
1.50000,0.00000,-0.00004,-0.00364,0.00000,75.00000,0.00000
1.60000,0.00000,-0.00003,-0.00353,0.00000,75.00000,0.00000
1.70000,0.00000,-0.00003,-0.00344,0.00000,75.00000,0.00000
1.80000,0.00000,-0.00003,-0.00334,0.00000,75.00000,0.00000
1.90000,0.00000,-0.00003,-0.00325,0.00000,75.00000,0.00000
2.00000,0.00000,-0.00003,-0.00316,0.00000,75.00000,0.00000
2.10000,0.00000,-0.00003,-0.00307,0.00000,75.00000,0.00000
2.20000,0.00000,-0.00003,-0.00298,0.00000,75.00000,0.00000
2.30000,0.00000,-0.00003,-0.00290,0.00000,75.00000,0.00000
2.40000,0.00000,-0.00003,-0.00282,0.00000,75.00000,0.00000
2.50000,0.00000,-0.00003,-0.00274,0.00000,75.00000,0.00000
2.60000,0.00000,-0.00003,-0.00267,0.00000,75.00000,0.00000
